date,organisationId,brand,valorisation,est_derniere_date
2025-04-14,BORD,ADG Diffusion,455.0,False
2025-04-14,BORD,Atelierbox,6168.8,False
2025-04-14,BORD,Auzou Editions,5027.68,False
2025-04-14,BORD,BB & Co,726.71,False
2025-04-14,BORD,Bayard Jeunesse,789.3,False
2025-04-14,BORD,Belle Lurette,652.8,False
2025-04-14,BORD,Biberon français,178.95,False
2025-04-14,BORD,Bibs,770.32,False
2025-04-14,BORD,Bioviva,1505.57,False
2025-04-14,BORD,BlackRock Games,1045.06,False
2025-04-14,BORD,Bob Snail,60.09,False
2025-04-14,BORD,Bobballs,672.0,False
2025-04-14,BORD,Bonbonrama,1196.51,False
2025-04-14,BORD,Buki,1019.99,False
2025-04-14,BORD,Burago,42.84,False
2025-04-14,BORD,CMP,546.15,False
2025-04-14,BORD,Cartes d'Art,466.15,False
2025-04-14,BORD,Cello,11.5,False
2025-04-14,BORD,Chaks,962.74,False
2025-04-14,BORD,Chef Club,349.04,False
2025-04-14,BORD,Chillys,114.61,False
2025-04-14,BORD,Chocli,328.86,False
2025-04-14,BORD,Chupa Chups,26.01,False
2025-04-14,BORD,Clairefontaine,750.29,False
2025-04-14,BORD,Cloud B,130.0,False
2025-04-14,BORD,Crayon Rocks,56.4,False
2025-04-14,BORD,Crocodile Creek,32.7,False
2025-04-14,BORD,Djeco,11344.37,False
2025-04-14,BORD,Dock & Bay,487.32,False
2025-04-14,BORD,Doudou & Cie,1443.37,False
2025-04-14,BORD,Dujardin,395.14,False
2025-04-14,BORD,En Cavale,25.2,False
2025-04-14,BORD,Erzi,1341.96,False
2025-04-14,BORD,Fizzy,15.6,False
2025-04-14,BORD,Frizzy Pazzy,19.44,False
2025-04-14,BORD,Gigamic,1807.64,False
2025-04-14,BORD,Glo Pals,148.32,False
2025-04-14,BORD,Globber,1460.95,False
2025-04-14,BORD,Graine Créative,5476.98,False
2025-04-14,BORD,Grim'tout,239.95,False
2025-04-14,BORD,Grund,17.33,False
2025-04-14,BORD,HOME DECO FACTORY,34.3,False
2025-04-14,BORD,HOME DECO KIDS,38.0,False
2025-04-14,BORD,HelloHossy,965.4,False
2025-04-14,BORD,Helvetiq,120.0,False
2025-04-14,BORD,Hindbag,1933.82,False
2025-04-14,BORD,Histoire d'Ours,2707.71,False
2025-04-14,BORD,Histoire d'ours,68.85,False
2025-04-14,BORD,IELLO,484.18,False
2025-04-14,BORD,Ikita,624.56,False
2025-04-14,BORD,Inuwet,1822.13,False
2025-04-14,BORD,JE CHERCHE UNE IDEE,55.2,False
